Star-rating,Name,Reviewer Profile Url,Review Title,Review Content,images,profile icon,Date,helpful,verified,variant,rating,text_ko
1.0 out of 5 stars,Carson,https://www.amazon.com/gp/customer-reviews/RHQAKIGD21WK8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BN2PX8V3,"1.0 out of 5 stars
 CAUSED NONSTOP CYSTIC ACNE BREAKOUT WITHIN DAYS, DO NOT BUY","I got this cleanser to help my skin retain moisture because my lifelong oily skin has become dry combo skin over the past couple years, and also wanted to reduce sebum filaments and blackheads. I was obsessed with this cleanser from the first wash that I used it, and I used it religiously for 3 weeks morning and night along with their ANUA exfoliating toner and their rice ceramide skim barrier serum, with my normal moisturizer.
On day 3 I developed a cyst on my cheek, this has happened few times in my life so I brushed it off and just figured my skin was purging — a good thing to me!
Day 5, two more cysts appeared in other areas of my face. That was weird to me, but again assumed skin was purging. Luckily I have an incredible retinol-AHA/BHA combo routine, so that would fairly quickly diminish the cysts and the red marks that they’d leave.
By day 8 those initial three cysts were mostly gone… only to wake up on day 9 with THREE NEW CYSTS, all in different places… I was so upset and could not understand what was happening! My skin just doesn’t do that, it never has!
On top of the cystic acne I was finding more and more large bumpy whiteheads scattered around my face, which is also abnormal for my skin. That’s when I got a suspicion it was the cleanser, but I was in denial. I loved it. I was using it exactly correct too and everything.
At the end of day 14 I got a cyst on the inner end of my eyebrow, and by the afternoon of day 15 I had ANOTHER one in the middle of the same eyebrow!!! I was crying in frustration at this point because these cysts were making my face SWELL! Especially ones that appeared along my jaw or on my cheek. I had wore makeup only twice within this two week period so I was even more confused as to what could’ve been getting trapped underneath to cause all this.
Day 19 I noticed I was JUST beginning to develop a cyst on my cheek so I cut off the cleanser right then and there. Went back to my SA cleanser while I look for a different brand oil cleanser and my skin is back to normal now. That last cyst never fully developed after I stopped btw.
I have never had an issue with any type of cleanser, or even any product, before and certainly never anything like this. My skin would have definitely been scarred in every area of my face (both cheeks, chin, both sides of jaw, just below forehead) with the frequency, size and rate of this cystic breakout, had it not been for my combo routine I mentioned. Unbelievable!!!
I should note that I did not suspend using their exfoliating toner and rice ceramide serum, those have been AMAZING!
Get a different oil cleanser, do not buy!!!",,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on November 3, 2024",35 people found this helpful,Verified Purchase,,1,"지난 몇년 동안 지성 피부가 건성 복합성 피부로 변해가고, 피지와 블랙헤드도 줄여주고 싶어서 피부 수분 유지에 도움을 주고자 이 클렌저를 구입하게 되었습니다. 나는 이 클렌저를 사용한 첫 번째 세안부터 집착했고, ANUA 엑스폴리에이팅 토너와 쌀 세라마이드 탈지 장벽 세럼, 일반 모이스처라이저와 함께 3주 동안 아침 저녁으로 종교적으로 사용했습니다.
3일차에 볼에 낭종이 생겼는데 이런 일이 몇 번 일어났습니다."
1.0 out of 5 stars,Chris,https://www.amazon.com/gp/customer-reviews/RERO66L2L66IW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BN2PX8V3,"1.0 out of 5 stars
 This should be illegal!","My face is still healing from the pimples they gave me, used to have a whole colony on my chin, breaking out in places I never even broke out before. Even with the help of salicylic acid in my skincare routine I keep breaking out on my chin and soon enough my cheeks. I thought it was purging but it was nonstop and painful! I keep getting them on top of each other like fungal and hormonal cysts. I broke out more and more. Now I have to admit it was this cleanser. Definitely something in it that is acne and inflammation prone. The positive reviews are because they haven't used it long enough to notice fungal acne! Gave it a month before I realized it wasn't 'purging'.
Update: I updated the 3rd picture in pink shirt which is as of today. I am left with acne scars and some breakouts here and there after 2 weeks of discontinued use, but not a whole colony of them like when I was using the anua cleansing oil after a couple weeks. Those tiny fungal acne bumps become inflamed into cysts, one by one. I have some indented acne scars, my skin was fine, never broke out like this before, i know some reviews must be bought/fake that is why there is so much marketing going on. I am using tea tree oil, cetella Tricica, Obagi and Paula's choice SA occasionally, along with high end skin barrier repair creams from Amore Pacific and Shiseido. My skin IS improving but it also takes a lot to get to this point (little leftover bumps are still breaking out into big pimples). I dont know how to see my inlaws this upcoming Christmas week. I wanted to repurchased DHC cleansing oil for double cleansing but then I saw this was bestseller, big mistake! I just wanted to improve my skin a bit for the holiday season, seeing the family and in-laws. This has costed me time, stress, money and mental health. I would sue them if I knew how. Worst thing I know this will continue to sell and they will never read this.
Update: I just wanted to update that I did a tca 30 peel with numbing cream to cure all of this. (Very) Painful, but last resort. It was definitely this cleanser. Hope it helps.","https://m.media-amazon.com/images/I/6149lyIeUAL.88.jpg  
https://m.media-amazon.com/images/I/61LljHczA-L.88.jpg  
https://m.media-amazon.com/images/I/61bEaSiXMnL.88.jpg  
","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on November 22, 2024",48 people found this helpful,Verified Purchase,,1,내 얼굴은 그들이 나에게 준 여드름으로 인해 여전히 치유되고 있습니다. 예전에는 턱에 전체 군집이 있었고 이전에는 터지지도 않은 곳에서 터졌습니다. 스킨케어 루틴에 살리실산을 사용해도 턱에는 계속 트러블이 생기고 곧 뺨에도 트러블이 생깁니다. 퍼지인 줄 알았는데 계속 아프고 아팠어요! 나는 곰팡이와 호르몬 낭종처럼 그것들을 계속해서 서로 겹쳐지게 만듭니다. 나는 점점 더 많이 터졌다. 이제 나는 그것이 이 클렌저였다는 것을 인정해야 합니다. 확실히 그 안에 뭔가가 있어
1.0 out of 5 stars,klew,https://www.amazon.com/gp/customer-reviews/R3V4COWD43UCLY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BN2PX8V3,"1.0 out of 5 stars
 BAD BREAKOUTS","If i could leave zero stars i would. for starts i have dry/sensitive skin. i was looking into starting to use an oil cleanser because most cleansers leave my face feeling dry and tight so i thought an oil cleanser would be a better alternative. i saw so many people on tiktok raving about this product so of course i purchased (easily influenced- WONT be anymore)
i am not someone who gets breakouts often. in all my 26 years i have rarely ever experienced acne/breakouts. i used this for two weeks and each morning would wake up with a new pimple. a lot of them would be those painful under the skin ones. idk why i kept using it, i guess i just saw so many things about it i figured there was no way it could be this product even though nothing new was added to my routine besides this.
after a quick google search and also reading people’s experiences with this cleanser on reddit and also noninfluencers tiktokers experiences as well i quickly realized it was in fact THIS product.
i havent used in for two weeks now and my skin is still in shambles. this completely ruined my skin.
also if you’ve seen people saying this removed sebaceous filaments, it DOES NOT. i would massage this into my nose and chin for multiple minutes and nothing. if anything the things you might see on your finger tips is balled up dry skin. a oil cleanser will not remove your sebaceous filaments.
looking back and searching this product on tiktok it shows majority of the videos are paid sponsorships/ADs. idk why it doesn’t show that when you see it on your fyp.
i will never buy from this brand again alone because with my research it seems to cause issues for a lot of peoples skin.
moral of the story don’t use this. don’t buy this. also don’t trust anything influencers recommend. everything i’ve ever bought that was recommended from a tiktok influencer sucked.",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on December 18, 2024",7 people found this helpful,Verified Purchase,,1,"별을 0개 남길 수 있다면 그렇게 할 것입니다. 처음에는 건조하고 민감한 피부를 가지고 있습니다. 대부분의 클렌저가 얼굴을 건조하고 당기는 느낌을 주기 때문에 오일 클렌저를 사용하려고 알아보고 있었기 때문에 오일 클렌저가 더 나은 대안이 될 것이라고 생각했습니다. 나는 tiktok에서 이 제품에 대해 열광하는 많은 사람들을 보았고 당연히 구매했습니다(쉽게 영향을 받음-더 이상 존재하지 않음)
나는 자주 탈주하는 사람이 아닙니다. 26년 동안 나는 여드름/탈출을 경험한 적이 거의 없습니다. 나는 이것을 2주 동안 사용했다"
1.0 out of 5 stars,Corinna Garmon,https://www.amazon.com/gp/customer-reviews/R2TLCBAMWXUTZV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BN2PX8V3,"1.0 out of 5 stars
 DON'T DO IT! Worked great but now give me zits","I was going to leave a glowing review because it really does clean out your pores. It removed lots of gunk including some blackheads. The first time I used it all the little bits of gunk that came out felt like sandpaper on my hands. At first I thought my skin was purging but the zits around my mouth area kept coming. I stopped using the product for a few days and they cleared up. Then I felt little bumps all under my skin like clogged pores so I decided to use the cleansing oil again. It cleaned them out but guess what! Now I have 5 painful zits around my mouth area again. I guess it's not for everyone. After I clear up I may try using it everywhere except around my mouth and see what happens.
Update: After the painful acne around my mouth then I started developing large cystic acne around my left temple into the hairline. I immediately threw the product in the trash. After reading reviews about people developing bacterial and fungal acne from this product I treated with mupricin 2 nights ago. I also changed my pillow cases as I side sleep on my left. I woke up to the acne looking better. I bought benzol peroxide and retinol acne treatments. Treated yesterday and last night and woke up to much better skin.
What a huge mistake in using this product.
Update: Into week 2 of not using the cleansing oil and still developing cystic acne that I'm having to treat. Developed three small ones in my hairline in the past 2 days.
Update: Week 3 - cystic acne has calmed down but my face is still a mess. Scarring from the cystic acne. The small hard bumps are coming to the surface.
Update: Still breaking out. I'm going to have to wear so much concealer for Thanksgiving dinner.
December 11, 2024: I am still breaking out in painful cysts around my mouth and hairline. I have to use OTC acne treatment to keep them under control. Using this product was a horrible decision!",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on November 1, 2024",12 people found this helpful,Verified Purchase,,1,정말 모공이 깨끗해지기 때문에 빛나는 리뷰를 남기려고 했어요. 블랙헤드를 포함한 많은 불순물을 제거했습니다. 처음 사용했을 때 나오는 작은 덩어리들이 손에 사포처럼 느껴졌습니다. 처음에는 피부가 깨끗해지는 줄 알았는데 입 주위에 여드름이 계속 나더라구요. 며칠 동안 제품 사용을 중단했더니 깨끗해졌습니다. 그러다가 모공이 막힌 것처럼 피부 아래에 작은 돌기가 느껴져서 다시 클렌징 오일을 사용하기로 결정했습니다. 깨끗해요
1.0 out of 5 stars,Gracie Marie,https://www.amazon.com/gp/customer-reviews/R43NAG3J5YZS2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BN2PX8V3,"1.0 out of 5 stars
 DO NOT BUY PRODUCT UNLESS YOU WANT YOUR CONFIDENCE DEPLETED.","Okay, I want to start off with I used this product one time. Just once. I also have combination skin but even then I NEVER used to have any acne like this. I found this product because I was having some issues with my pores and some blackheads, and I bought it to get rid of sebaceous filaments. A lot of the reviews had 5 stars , and I mean a lot. I used it just like it said on the packaging. Rubbed on my nose and cheeks for 5 minutes, diluted it with water, and even used a water based cleanser after. It did what it was supposed to do at first (I thought.) I was happy with the results after using. BUT however after about 5 days to a week later my skin started getting suuuper itchy and dry. I started getting these small raised bumps on my cheeks, and then spread to my chin. I learned that I developed fungal acne, and now what I think has turned into fungal AND bacterial acne. I’ve had clear skin for pretty much my entire life aside from hormonal pimples or just random pimples popping up. I now have what I think are CYSTS developing under my skin (WHAT). This has been so painful to go through mentally, emotionally and physically. It crushes me as a woman who was happy and confident to have clear skin, to wash my face and feel all of the pimples and small bumps. With how bad it’s gotten, It leaves me in tears to look at myself. I’ve had this on my face for 3-4 months now, I don’t know how to get rid of it yet. All I know is please for the love of God save your skin, your confidence or just overall your sanity. DONT buy this crap.
Love yourselves
-M","https://m.media-amazon.com/images/I/515cYto0tgL.88.jpg  
https://m.media-amazon.com/images/I/6180ZUVLDLL.88.jpg  
https://m.media-amazon.com/images/I/61YRgpqZdKL.88.jpg  
https://m.media-amazon.com/images/I/61qNATqQljL.88.jpg  
",https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on June 23, 2024",171 people found this helpful,Verified Purchase,,1,"좋아요, 이 제품을 한 번 사용해 본 것부터 시작하고 싶습니다. 한 번만. 저도 복합성 피부인데도 이런 여드름이 난 적은 한번도 없었어요. 모공과 블랙헤드 때문에 고민이었는데, 피지 필라멘트를 없애고 싶어서 이 제품을 구매하게 되었습니다. 많은 리뷰에 별 5개가 있었는데, 제 말은 많은 의미입니다. 포장에 적힌대로 사용했어요. 코와 볼에 5분 정도 문지른 후 물에 희석해서 사용하고, 워터 베이스 클렌저도 사용했어요"
1.0 out of 5 stars,rose,https://www.amazon.com/gp/customer-reviews/R2GRVAU5D8LNJM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BN2PX8V3,"1.0 out of 5 stars
 Suhnyung and Changjoo better sleep with one eye open","I dont care what they say, they changed the formula. Prior to the packaging change, I used an entire bottle of this and loved it. It WAS great. I ordered a new bottle because i had ran out and noticed wow! they changed the packaging! I hope they didn't change the formula! Oh boy was me two weeks ago in for a treat. Because I used it twice and my skin broke out in tiny red bumps all over my face. Not like oh here and there, it was so bad i thought i was having an allergic reaction. I powered through 'maybe it was a two day thing' no because im STILL HERE two weeks later and i stopped using it yesterday night because I can not see this through anymore. Whoever said they didn't change anything I hope you repent for your sins someday, until then ill be at the edge of your bed at night.",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on March 25, 2025",3 people found this helpful,Verified Purchase,,1,"나는 그들이 말하는 것을 상관하지 않습니다. 그들은 공식을 변경했습니다. 포장 바꾸기 전에는 이거 한 병 다 써봤는데 너무 맘에 들었어요. 정말 훌륭했어요. 다 떨어졌다가 발견해서 새 병을 주문했어요 와우! 포장을 바꿨어요! 그들이 공식을 바꾸지 않았으면 좋겠어요! 아, 2주 전에 치료를 받으러 나왔어요. 두 번 사용했는데 얼굴 전체에 작은 붉은 돌기가 피부에 생겼기 때문입니다. 아 여기 저기는 아니고 너무 심해서 알레르기 반응이 있는 줄 알았어요. 나는 힘을 쏟았어"
1.0 out of 5 stars,Mila E.,https://www.amazon.com/gp/customer-reviews/R1JL5GR7ICPLBH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BN2PX8V3,"1.0 out of 5 stars
 This DESTROYED my skin","I really wanted to like this product. I did research before buying it and all the steps involved to ensure I used it correctly; because the reason why a lot of people have issues with a product like this is because of incorrect usage. To preface, I have been on accutane once and am currently experiencing hormonal acne. I have been back and forth with my dermatologist on working on my hormonal acne but me purchasing this product was NOT to help with that; but rather with cleansing and ensuring all makeup and pore clogging impurities were out of my skin.

I have a relatively basic skincare routine and still deal with scarring from my time on accutane as well as the hormonal acne. Before purchasing this product, I was just using the ELF holy hydration makeup remover (love it and it works wonders). I used the ANUA oil cleanser TWICE and my skin and skin barrier has entirely destroyed. My skin is now drier and more textured than ever. I have little whitehead like bumps all over my face, including my eyelids. Where I was experiencing these breakouts is places I have never had before. I feel more self-conscious about my acne now and my experience with this product is just so bad. It has been about 5 days since I stopped using this and my skin has still not gone back to normal. I have simplified my routine down to hydrating basics and I am hoping it gets resolved soon.

Before buying this product, please do your research. Just because it is trending on TikTok or Instagram, doesn't mean it is good. I am really self-concious about my skin right now and I hope no one has to go through the same thing I am going through right now. I am returning the product for my money back and am hoping my skin goes back to normal soon. Please DO NOT BUY.",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on February 13, 2024",54 people found this helpful,Verified Purchase,,1,"이 제품이 정말 갖고 싶었어요. 나는 그것을 구입하기 전에 조사했고, 그것을 올바르게 사용했는지 확인하기 위해 관련된 모든 단계를 수행했습니다. 많은 사람들이 이런 제품에 문제를 겪는 이유는 잘못된 사용법 때문입니다. 서문에 말씀드리자면 저는 아큐테인을 한 번 복용했고 현재 호르몬성 여드름을 겪고 있습니다. 나는 호르몬성 여드름 치료를 위해 피부과 전문의와 왔다 갔다 했지만 이 제품을 구입한 것은 그 문제에 도움이 되지 않았습니다. 오히려 모든 것을 정화하고 보장하는 것보다"
1.0 out of 5 stars,M. Yee,https://www.amazon.com/gp/customer-reviews/R1LYG49EL66HHB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BN2PX8V3,"1.0 out of 5 stars
 Adverse effect","I’ve been using this for 1.5 months. I’m in my late 30’s & do not have sensitive skin. People say there’s a strong scent but my bottle, the scent was very light. Almost unnoticeable and my olfactory is quite sensitive. So that’s strange. My nighttime routine is double cleansing and I’ve used oil cleansers from various brands with no skin issues. I heard about this from a mom I follow on IG and heard rave reviews from a K Beauty YouTuber who stated it’s an immensely popular item. 2wks into using it, I noticed texture on my chin like clogged pores. Didn’t think anything of it. 3rd wk I felt more bumps on the side of my face and when I used the product, I did feel stuff in my skin which meant it was getting rid of something off my skin or from my pores, just none of the black heads some people claim. Since the writing is all in Korean, there’s really no clear direction to follow if you can’t read it. I decided to just look online to see if there’s some step I’m not doing that’s required by this brand. Lo and below, you need to emulsify it after the 1min of using it, prior to washing it off. I started doing that but I ended up with more clogged pores throughout my face and my temples started to break out really bad. This is the only new product I added to my skincare routine so it wasn’t hard to pinpoint the cause. I stopped using it 3 days ago and my skin is already healing. Very unfortunate b/c I was really enjoying the product",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on June 16, 2024",12 people found this helpful,Verified Purchase,,1,"나는 이것을 1.5 개월 동안 사용해 왔습니다. 저는 30대 후반이고 피부가 예민한 편은 아닙니다. 향이 강하다고 하는데 내 병은 향이 너무 가벼웠어요. 거의 눈에 띄지 않으며 내 후각은 매우 민감합니다. 정말 이상해요. 저의 야간 루틴은 더블 클렌징이고, 피부 트러블 없이 다양한 브랜드의 오일 클렌저를 사용했습니다. IG에서 팔로우하는 엄마에게 이 이야기를 들었고, K뷰티 유튜버로부터 엄청난 인기를 누리고 있다는 극찬을 들었습니다. 사용 후 2주"
1.0 out of 5 stars,Vchavez,https://www.amazon.com/gp/customer-reviews/R3R0SWVAS4K8RK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BN2PX8V3,"1.0 out of 5 stars
 Fungal. Acne.","I truly love the herbal smell of this oil cleanser and it relaxed me every time I would use it and it really took away my makeup fairly well except for the mascara which I would have to use a cotton pad and miscellar water for. It made my skin look so clean and refreshed. But then maybe a week in that’s when I noticed my face would get these little red bumps. I just thought maybe it was a little irritating or the water was too hot when I would cleanse. Mind you, I always followed this oil cleanser with the water based cleanser they recommend afterwards. But by the second week, the red bumps were bigger and more apparent on my lower jawline, cheeks and chin. Then they started appearing on my forehead. They wouldn’t go away and more just kept appearing. After stopping the Anya cleansers, they finally calmed down, but now I’ve been dealing with this fungal acne that started spreading to my neck even! It’s slowly getting better, but it’s been about 2 months now and the picture is what it looks like still currently. I also used their soothing ampoule but it just made it worse as well. Skin got better after I stopped using Anua all together and just went back to my old routine. Definitely would not recommend if you’re a really oily and sensitive girly.","https://m.media-amazon.com/images/I/71HxSABpU4L.88.jpg  
",https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on October 7, 2024",25 people found this helpful,Verified Purchase,,1,"저는 이 오일 클렌저의 허브 향을 정말 좋아하고, 사용할 때마다 편안함을 느꼈고, 화장솜과 기타 물을 사용해야 하는 마스카라를 제외하고는 메이크업이 상당히 잘 지워졌습니다. 피부가 너무 깨끗하고 상쾌해 보이더라구요. 하지만 일주일 정도 지나면 내 얼굴에 작은 붉은 돌기가 생길 것이라는 것을 알았습니다. 그냥 클렌징할 때 좀 자극적이거나 물이 너무 뜨거웠을 수도 있겠다는 생각이 들었어요. 참고하세요, 저는 항상 이 오일 클렌징을 따랐어요"
1.0 out of 5 stars,Blue eyes gone wrong,https://www.amazon.com/gp/customer-reviews/RHDQ4R36U58SV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BN2PX8V3,"1.0 out of 5 stars
 This destroyed my skin","So I’ll admit - I should have been more careful. I read the reviews and thought this stuff would be amazing. I made sure I knew how to use it properly and have a good water based cleanser to follow. I double triple and quadruple checked the oils that are used to make sure they play nice with my skin. And it seemed like a good fit…except I didn’t look at the other ingredients. The primary (first) ingredient isn’t a cleansing oil, it’s Ethylhexyl Palmitate and hoo boy if you have acne prone skin you should avoid this ingredient like the plague.

For the first week or so, it made my skin glow, red spots were fading fast, and I was sold on this product. I was still getting acne but hoping this would clear it up. But it didn’t. It got worse, fast. I did more research and realized the error of my ways. I’m now trying to clear up one of the worst and most painful breakouts I’ve ever had. We’re talking swollen, deep, cystic type acne as well as the more run of the mill closed comedones. It’s awful and it hurts so bad. I should have checked every ingredient.

If you don’t have acne prone skin however I can see why people would think it’s awesome.",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on October 4, 2024",11 people found this helpful,Verified Purchase,,1,"그러니 인정하겠습니다. 좀 더 조심했어야 했어요. 나는 리뷰를 읽고 이 물건이 훌륭할 것이라고 생각했습니다. 나는 그것을 올바르게 사용하는 방법을 알고 따라야 할 좋은 수성 클렌저를 가지고 있는지 확인했습니다. 나는 사용되는 오일이 내 피부에 잘 맞는지 확인하기 위해 두 번 세 번, 네 번 확인했습니다. 그리고 잘 맞는 것 같았어요… 다른 재료를 보지 않았다는 점만 빼면요. 주(첫번째) 성분은 클렌징 오일이 아닌 에틸헥실팔미테이트와 여드름성 피부라면 hoo boy y"
