month,total,churn,positive,anua,churn_rate,positive_rate
2024-03,3,2,1,0,0.6666666666666666,0.3333333333333333
2024-04,1,1,0,0,1.0,0.0
2024-05,4,0,1,0,0.0,0.25
2024-06,7,3,0,2,0.42857142857142855,0.0
2024-07,3,1,0,0,0.3333333333333333,0.0
2024-08,3,2,0,1,0.6666666666666666,0.0
2024-09,9,0,2,0,0.0,0.2222222222222222
2024-10,2,0,0,0,0.0,0.0
2024-11,12,1,0,1,0.08333333333333333,0.0
2024-12,4,1,2,0,0.25,0.5
2025-01,4,1,0,2,0.25,0.0
2025-02,4,0,1,0,0.0,0.25
2025-03,6,1,1,2,0.16666666666666666,0.16666666666666666
2025-04,4,1,1,1,0.25,0.25
2025-05,6,0,0,0,0.0,0.0
2025-06,3,2,0,2,0.6666666666666666,0.0
2025-07,5,1,0,1,0.2,0.0
2025-08,17,4,5,2,0.23529411764705882,0.29411764705882354
2025-09,17,2,4,0,0.11764705882352941,0.23529411764705882
2025-10,12,3,2,0,0.25,0.16666666666666666
2025-11,16,3,6,2,0.1875,0.375
2025-12,63,20,9,0,0.31746031746031744,0.14285714285714285
2026-01,175,95,11,3,0.5428571428571428,0.06285714285714286
2026-02,161,79,17,3,0.4906832298136646,0.10559006211180125
2026-03,334,109,72,5,0.3263473053892216,0.2155688622754491
2026-04,295,50,108,2,0.1694915254237288,0.36610169491525424
