keyword,cnp_count,anua_count,bias,brand
광채,79,0,1.0,CNP 특화
정리,87,0,1.0,CNP 특화
기미,60,0,1.0,CNP 특화
선택,82,0,1.0,CNP 특화
부스터,205,0,1.0,CNP 특화
흔적,65,0,1.0,CNP 특화
소개,74,0,1.0,CNP 특화
프로폴리스,753,0,1.0,CNP 특화
이니스프리,84,0,1.0,CNP 특화
로션,149,0,1.0,CNP 특화
마데카파마시아,69,0,1.0,CNP 특화
연어,61,0,1.0,CNP 특화
스팟,146,0,1.0,CNP 특화
쿠션,122,0,1.0,CNP 특화
웰라쥬,77,0,1.0,CNP 특화
고민,204,0,1.0,CNP 특화
디바이스,161,0,1.0,CNP 특화
비교,273,0,1.0,CNP 특화
설화,65,0,1.0,CNP 특화
카밍,305,0,1.0,CNP 특화
가능,75,0,1.0,CNP 특화
비타민,77,0,1.0,CNP 특화
버블,93,0,1.0,CNP 특화
유명,79,0,1.0,CNP 특화
혜택,59,0,1.0,CNP 특화
흡수,96,0,1.0,CNP 특화
메디,59,0,1.0,CNP 특화
에이징,138,0,1.0,CNP 특화
이번,96,0,1.0,CNP 특화
증정,70,0,1.0,CNP 특화
블루,59,0,1.0,CNP 특화
제형,66,0,1.0,CNP 특화
씨앤피,72,0,1.0,CNP 특화
에스트라,90,0,1.0,CNP 특화
겨울,70,0,1.0,CNP 특화
올영,59,0,1.0,CNP 특화
안티포어,256,0,1.0,CNP 특화
히알루론산,71,0,1.0,CNP 특화
동국,75,0,1.0,CNP 특화
부스트,132,0,1.0,CNP 특화
앰플,2399,0,1.0,CNP 특화
후기,404,0,1.0,CNP 특화
대신,133,0,1.0,CNP 특화
용량,85,0,1.0,CNP 특화
클리어,278,0,1.0,CNP 특화
프라임,56,0,1.0,CNP 특화
기능,81,0,1.0,CNP 특화
바이오더마,75,0,1.0,CNP 특화
밀크,71,0,1.0,CNP 특화
샘플,203,0,1.0,CNP 특화
재생,111,0,1.0,CNP 특화
약국,89,0,1.0,CNP 특화
탄력,266,0,1.0,CNP 특화
민트,66,0,1.0,CNP 특화
에너지,218,0,1.0,CNP 특화
키트,288,0,1.0,CNP 특화
에센스,239,0,1.0,CNP 특화
마몽드,61,0,1.0,CNP 특화
가성비,69,0,1.0,CNP 특화
요즘,170,0,1.0,CNP 특화
퍼펙트,114,0,1.0,CNP 특화
마스크,189,0,1.0,CNP 특화
더마앤서,194,0,1.0,CNP 특화
올리브,377,0,1.0,CNP 특화
더마코스메틱,97,0,1.0,CNP 특화
퓨어,100,0,1.0,CNP 특화
미스트,463,0,1.0,CNP 특화
레티놀,84,0,1.0,CNP 특화
안티,102,0,1.0,CNP 특화
이유,56,0,1.0,CNP 특화
차앤박,2109,0,1.0,CNP 특화
판매,78,0,1.0,CNP 특화
코스메틱,142,0,1.0,CNP 특화
아이오페,61,0,1.0,CNP 특화
거래,70,0,1.0,CNP 특화
아이,77,0,1.0,CNP 특화
관리,281,0,1.0,CNP 특화
오늘,104,0,1.0,CNP 특화
필수,60,0,1.0,CNP 특화
조합,56,0,1.0,CNP 특화
시카,57,0,1.0,CNP 특화
미백,115,0,1.0,CNP 특화
콜라겐,80,0,1.0,CNP 특화
홈케어,76,0,1.0,CNP 특화
패드,132,0,1.0,CNP 특화
메디큐브,58,0,1.0,CNP 특화
크림,1006,0,1.0,CNP 특화
구성,67,0,1.0,CNP 특화
캐스틸,92,0,1.0,CNP 특화
주름,142,0,1.0,CNP 특화
기초,120,0,1.0,CNP 특화
앰프,366,0,1.0,CNP 특화
쫀쫀,72,0,1.0,CNP 특화
파우더,66,0,1.0,CNP 특화
액티브,263,0,1.0,CNP 특화
라인,167,0,1.0,CNP 특화
함량,61,0,1.0,CNP 특화
제약,76,0,1.0,CNP 특화
세럼,620,19,0.941,CNP 특화
보습,262,20,0.858,CNP 특화
케어,307,29,0.827,CNP 특화
트러블,726,77,0.808,CNP 특화
장벽,158,19,0.785,CNP 특화
가격,198,31,0.729,CNP 특화
스킨,207,34,0.718,CNP 특화
개선,103,17,0.717,CNP 특화
성분,314,53,0.711,CNP 특화
블랙,480,82,0.708,CNP 특화
헤드,455,86,0.682,CNP 특화
타입,90,17,0.682,CNP 특화
건성,102,22,0.645,CNP 특화
아누아,74,16,0.644,CNP 특화
아침,79,18,0.629,CNP 특화
최고,59,14,0.616,CNP 특화
화장,113,27,0.614,CNP 특화
각질,62,15,0.61,CNP 특화
더블,78,19,0.608,CNP 특화
수분,387,102,0.583,CNP 특화
클렌징,602,164,0.572,CNP 특화
건조,296,92,0.526,CNP 특화
리뷰,222,74,0.5,CNP 특화
진정,296,106,0.473,CNP 특화
확인,82,34,0.414,CNP 특화
구매,344,145,0.407,CNP 특화
피지,108,48,0.385,CNP 특화
효과,430,194,0.378,CNP 특화
모공,323,151,0.363,CNP 특화
자극,139,67,0.35,CNP 특화
이상,73,36,0.339,CNP 특화
세안,88,46,0.313,CNP 특화
지성,118,63,0.304,CNP 특화
필요,64,38,0.255,공통
루틴,105,63,0.25,공통
시간,65,39,0.25,공통
피부,1734,1058,0.242,공통
제품,798,657,0.097,공통
사람,101,84,0.092,공통
느낌,198,172,0.07,공통
정도,72,76,-0.027,공통
여드름,235,301,-0.123,공통
생각,78,100,-0.124,공통
사용,637,845,-0.14,공통
처음,60,95,-0.226,공통
오일,174,276,-0.227,공통
토너,192,315,-0.243,공통
제거,72,125,-0.269,공통
클렌저,121,213,-0.275,공통
시작,65,125,-0.316,ANUA 특화
메이크업,58,123,-0.359,ANUA 특화
얼굴,108,246,-0.39,ANUA 특화
자외선,0,19,-1.0,ANUA 특화
유일,0,32,-1.0,ANUA 특화
권장,0,21,-1.0,ANUA 특화
워터프루프,0,14,-1.0,ANUA 특화
추출물,0,16,-1.0,ANUA 특화
시도,0,63,-1.0,ANUA 특화
결정,0,31,-1.0,ANUA 특화
악화,0,16,-1.0,ANUA 특화
발진,0,52,-1.0,ANUA 특화
세안제,0,15,-1.0,ANUA 특화
적합,0,25,-1.0,ANUA 특화
유화,0,16,-1.0,ANUA 특화
상태,0,18,-1.0,ANUA 특화
추가,0,23,-1.0,ANUA 특화
긍정,0,17,-1.0,ANUA 특화
최악,0,14,-1.0,ANUA 특화
지속,0,28,-1.0,ANUA 특화
완벽,0,20,-1.0,ANUA 특화
경우,0,25,-1.0,ANUA 특화
거품,0,14,-1.0,ANUA 특화
차단제,0,19,-1.0,ANUA 특화
가치,0,31,-1.0,ANUA 특화
최근,0,16,-1.0,ANUA 특화
사랑,0,15,-1.0,ANUA 특화
복합,0,42,-1.0,ANUA 특화
하루,0,26,-1.0,ANUA 특화
중단,0,44,-1.0,ANUA 특화
이전,0,33,-1.0,ANUA 특화
자체,0,19,-1.0,ANUA 특화
일반,0,36,-1.0,ANUA 특화
테스트,0,16,-1.0,ANUA 특화
지금,0,59,-1.0,ANUA 특화
마스카라,0,20,-1.0,ANUA 특화
일부,0,16,-1.0,ANUA 특화
노폐물,0,18,-1.0,ANUA 특화
부위,0,27,-1.0,ANUA 특화
사진,0,21,-1.0,ANUA 특화
방식,0,17,-1.0,ANUA 특화
영향,0,26,-1.0,ANUA 특화
아무것,0,22,-1.0,ANUA 특화
실망,0,31,-1.0,ANUA 특화
변화,0,47,-1.0,ANUA 특화
낭비,0,14,-1.0,ANUA 특화
반응,0,42,-1.0,ANUA 특화
청소,0,15,-1.0,ANUA 특화
포함,0,21,-1.0,ANUA 특화
노력,0,14,-1.0,ANUA 특화
단계,0,20,-1.0,ANUA 특화
한국,0,40,-1.0,ANUA 특화
공급,0,77,-1.0,ANUA 특화
부분,0,32,-1.0,ANUA 특화
틱톡,0,16,-1.0,ANUA 특화
며칠,0,22,-1.0,ANUA 특화
냄새,0,53,-1.0,ANUA 특화
사실,0,20,-1.0,ANUA 특화
마음,0,82,-1.0,ANUA 특화
예전,0,15,-1.0,ANUA 특화
돌기,0,30,-1.0,ANUA 특화
대부분,0,18,-1.0,ANUA 특화
작동,0,38,-1.0,ANUA 특화
이중,0,22,-1.0,ANUA 특화
탈주,0,17,-1.0,ANUA 특화
포장,0,22,-1.0,ANUA 특화
발생,0,59,-1.0,ANUA 특화
친구,0,15,-1.0,ANUA 특화
손상,0,19,-1.0,ANUA 특화
과대,0,19,-1.0,ANUA 특화
문제,0,59,-1.0,ANUA 특화
일주일,0,29,-1.0,ANUA 특화
반품,0,20,-1.0,ANUA 특화
구입,0,68,-1.0,ANUA 특화
기대,0,30,-1.0,ANUA 특화
알레르기,0,14,-1.0,ANUA 특화
결과,0,46,-1.0,ANUA 특화
유지,0,36,-1.0,ANUA 특화
평소,0,16,-1.0,ANUA 특화
포뮬러,0,14,-1.0,ANUA 특화
이후,0,21,-1.0,ANUA 특화
기분,0,22,-1.0,ANUA 특화
발견,0,32,-1.0,ANUA 특화
질감,0,33,-1.0,ANUA 특화
필라멘트,0,17,-1.0,ANUA 특화
이마,0,33,-1.0,ANUA 특화
다음,0,39,-1.0,ANUA 특화
차이,0,54,-1.0,ANUA 특화
일상,0,16,-1.0,ANUA 특화
주장,0,14,-1.0,ANUA 특화
동안,0,129,-1.0,ANUA 특화
주문,0,33,-1.0,ANUA 특화
주의,0,27,-1.0,ANUA 특화
기름,0,23,-1.0,ANUA 특화
잔여,0,22,-1.0,ANUA 특화
배송,0,14,-1.0,ANUA 특화
하트리프,0,16,-1.0,ANUA 특화
상자,0,16,-1.0,ANUA 특화
펌프,0,19,-1.0,ANUA 특화
경험,0,23,-1.0,ANUA 특화
전체,0,60,-1.0,ANUA 특화
